image_id,year,news_date,link,title,source_collection,source_field,image_path,image_rel_path,width,height,prior_quality_label,prior_quality_score,mean_sentiment_score,majority_sentiment_label,api_agreement,api_votes,gpt_score,gpt_label,gpt_reason,claude_score,claude_label,claude_reason,gemini_score,gemini_label,gemini_reason,api_models_used,api_error,created_at
70e186dad2b09fadbdb386c6c5421eae,2014,2014-11-21,http://auto.sina.com.cn/guangzhouchezhan,广州车展,2014_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2014_1/20141121/广州车展/44bb-2e7a393e7cf9876384e8baf4ba7b2eb5.jpg,44bb-2e7a393e7cf9876384e8baf4ba7b2eb5.jpg,800,450,quality_pass_auto_accept,0.79,0.4,neutral,0.666667,"{""neutral"": 2, ""positive"": 1}",0.5,neutral,"The image depicts a car at an exhibition, lacking clear positive or negative sentiment.",0.2,positive,"Sleek EV showcase at auto expo signals innovation, growth, and strong consumer interest in electric vehicles.",0.5,neutral,"The image shows a standard car display at an exhibition, lacking clear visual cues of financial optimism or pessimism.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:03:51.261061
470d259c237c41708477f0b381872c93,2014,2014-11-21,http://auto.sina.com.cn/guangzhouchezhan,广州车展,2014_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2014_1/20141121/广州车展/1637326860189_640.jpg,1637326860189_640.jpg,640,427,quality_pass_auto_accept,0.616667,0.4,neutral,0.666667,"{""neutral"": 2, ""positive"": 1}",0.5,neutral,The image features a car without clear emotional cues or market indicators.,0.2,positive,"Sleek Mercedes EV showcase at auto show suggests innovation, prosperity, and strong brand confidence.",0.5,neutral,"The image is a standard product display of a vehicle, lacking any clear positive or negative financial visual cues.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:03:51.260918
fcb7ce725fe331aec0ed8b9e8e305048,2014,2014-10-28,http://news.sina.com.cn/pl/2014-10-28/063931054838.shtml,养老存百万？,2014_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2014_1/20141028/养老存百万？/U6161P1T1D31054838F21DT20141028092420.jpg,U6161P1T1D31054838F21DT20141028092420.jpg,300,226,quality_pass_auto_accept,0.756667,0.84,negative,1.0,"{""negative"": 3}",0.8,negative,"The wave labeled 'CPI' suggests rising inflation concerns, indicating a pessimistic outlook.",0.82,negative,"Massive CPI wave overwhelming small pension/savings figure suggests inflation eroding retirement funds, bearish imagery.",0.9,negative,"A massive wave labeled CPI threatens a distressed character representing pension funds, visually depicting inflation eroding retirement savings, a highly pessimistic scenario.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:03:51.260347
de4f70211f92e7b136a0f430ffa7b07f,2014,2014-10-24,http://news.sina.com.cn/c/2014-10-24/162431040635.shtml,旺角受非法分子渗透 占中开始变质,2014_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2014_1/20141024/旺角受非法分子渗透 占中开始变质/U4167P1DT20141003073708.jpg,U4167P1DT20141003073708.jpg,550,372,quality_pass_auto_accept,0.69,0.5,neutral,1.0,"{""neutral"": 3}",0.5,neutral,The image lacks clear emotional cues or context for sentiment analysis.,0.5,neutral,Neutral portrait of official speaking at podium with Chinese flag; no clear bullish or bearish financial imagery.,0.5,neutral,"The image is a standard portrait of a man speaking at a podium, lacking any clear positive or negative financial visual cues.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:03:51.260103
93c43f129e2d9003ce85bae2024fc919,2014,2014-11-27,http://auto.sina.com.cn/guangzhouchezhan,广州车展,2014_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2014_1/20141127/广州车展/44ae-0a96e8941848ea62e45e7d594901e127.jpg,44ae-0a96e8941848ea62e45e7d594901e127.jpg,570,380,quality_pass_auto_accept,0.6,0.433333,neutral,0.666667,"{""neutral"": 2, ""positive"": 1}",0.5,neutral,"The image features a car display, lacking clear emotional cues for investor sentiment.",0.3,positive,New car unveil at 2021 Guangzhou Auto Show; bright red vehicle suggests product launch excitement and growth.,0.5,neutral,"The image shows a car on display at an auto show, lacking clear emotional or financial cues to indicate directional sentiment.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:03:51.260554
a7e0e766de2ef7986082e873a1ef7888,2014,2014-12-03,http://news.sina.com.cn/c/p/2014-12-02/220431235606.shtml,乾隆手卷拍出1亿元创中国书画年度纪录(图),2014_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2014_1/20141203/乾隆手卷拍出1亿元创中国书画年度纪录(图)/1417529305_mFjF8k.jpg,1417529305_mFjF8k.jpg,540,359,quality_pass_auto_accept,0.7,0.5,neutral,1.0,"{""neutral"": 3}",0.5,neutral,The image features historical artifacts with no clear emotional or financial indicators.,0.5,neutral,Ancient Chinese scrolls and calligraphy artifacts; no clear financial or market sentiment indicators present.,0.5,neutral,"The image displays traditional Chinese scrolls, lacking any financial indicators, charts, or emotional cues related to market sentiment.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:03:51.261419
bf3d351c0e2ec2502d97772311f14ab4,2015,2015-04-26,http://auto.sina.com.cn/shanghaichezhan,上海车展,2015_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2015_1/20150426/上海车展/w640h427l50t50q10008f.jpg,w640h427l50t50q10008f.jpg,640,427,quality_pass_auto_accept,0.6,0.433333,neutral,0.666667,"{""neutral"": 2, ""positive"": 1}",0.5,neutral,"The image features a car at an exhibition, lacking clear emotional cues.",0.3,positive,Luxury SUV debut at Shanghai Auto Show 2021 signals product strength and consumer market optimism.,0.5,neutral,"The image shows a car at an auto show, which is a standard promotional event without clear positive or negative financial sentiment.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:04:06.781738
59f34e813afae7766dc7c58fb8737131,2014,2014-12-23,http://news.sina.com.cn/c/2014-12-22/184131314749.shtml,欧亚行关键词,2014_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2014_1/20141223/欧亚行关键词/792851365.jpg,792851365.jpg,550,308,quality_pass_auto_accept,0.666667,0.5,neutral,1.0,"{""neutral"": 3}",0.5,neutral,The image depicts a formal gathering with no clear emotional cues.,0.5,neutral,Formal group photo of officials with flags; diplomatic setting with no clear bullish or bearish financial cues.,0.5,neutral,"The image shows a standard group photo of politicians at an international summit, lacking clear directional financial cues or strong emotional indicators.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:04:04.872603
8091a7733c8a782deddff5cd4fcdced0,2014,2014-11-03,http://news.sina.com.cn/c/2014-11-03/043931084130.shtml,越狱犯在监狱附近草丛里被抓获(图),2014_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2014_1/20141103/越狱犯在监狱附近草丛里被抓获(图)/U11556P1T1D31084130F21DT20141103043926.jpg,U11556P1T1D31084130F21DT20141103043926.jpg,510,344,quality_pass_auto_accept,0.583333,0.5,neutral,1.0,"{""neutral"": 3}",0.5,neutral,The image presents a map with no clear emotional cues or financial indicators.,0.5,neutral,"Infographic map showing escape routes from a prison; no financial charts, market data, or investor-relevant imagery.",0.5,neutral,"The image is a news graphic depicting a prison escape and capture, lacking any financial or market-related visual cues.","gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:04:06.613113
b2b88baf6b3d921bf48f10d9302bf97e,2015,2015-10-31,http://news.sina.com.cn/c/nd/2015-10-31/doc-ifxkhcfn4232123.shtml,陕西榆林慈善协会插手8口黑油井 赚千万从未公示,2015_2,high_quality_images,/Volumes/Data_Drive/research0322226/financial-news-sentiment-analysis/images/2015_1/20151031/陕西榆林慈善协会插手8口黑油井 赚千万从未公示/U12736P27T1D839872F3DT20150925093212.jpg,U12736P27T1D839872F3DT20150925093212.jpg,550,415,quality_pass_auto_accept,0.756667,0.45,neutral,0.666667,"{""neutral"": 2, ""positive"": 1}",0.5,neutral,"The image depicts oil pumps at sunset, lacking clear positive or negative sentiment.",0.35,positive,Active oil pump jacks silhouetted against vibrant sunset suggest energy sector productivity and operational strength.,0.5,neutral,Generic silhouette of oil pumpjacks at sunset; lacks clear directional financial indicators or emotional cues.,"gpt-4o-mini,claude-sonnet-4-6,gemini-3-pro-preview",,2026-04-27T02:04:07.841042
